Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e0573972-3d00-ae95-a04e-6f8d8db2679d,2015-04-08,,999-59-7950,,,,Lily490,Lizeth852,Swaniawski813,,,,black,nonhispanic,F,Irondale  Georgia  US,317 Parisian Vista,Vidalia,Georgia,Toombs County,13279.0,30436,32.24829652612935,-82.43673277926248,7067.88,0.0,40440
6800d288-f031-8337-e053-9487266670b5,1994-05-17,,999-21-3929,S99966404,X19443172X,Mrs.,Arielle168,Delpha270,Hyatt152,,Rippin620,M,white,nonhispanic,F,Forest Park  Georgia  US,151 McKenzie Mill,Augusta,Georgia,Richmond County,,0,33.44302879314575,-82.07085471656673,4732.52,6441.82,17794
6aa2d4b2-306f-97c8-4cd7-24b3aa33c3cf,2010-07-07,,999-77-8330,,,,Corazon138,Tomika243,Hirthe744,,,,black,nonhispanic,F,Albany  Georgia  US,692 Quitzon Junction Apt 12,Johns Creek,Georgia,Fulton County,13121.0,30005,34.03993851019589,-84.12336807937774,9529.06,0.0,89123
f954ab8c-3258-8eac-1d7d-3c417b6c210a,1983-03-11,,999-84-7279,S99943498,X19913611X,Mr.,Alfonso758,Gregorio366,Villegas15,,,M,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,138 Kuhic Mews Suite 51,Evans,Georgia,Columbia County,13073.0,30809,33.573355968071795,-82.15690911999262,11369.64,0.0,932563
443e14fd-6df2-d9a2-11d3-fa9fbaa89c1d,2011-07-14,,999-67-3450,,,,Carie544,Ligia986,Weissnat378,,,,black,hispanic,F,Rockingham  Georgia  US,476 Zemlak Well Suite 13,Fort Stewart,Georgia,Liberty County,13179.0,31315,31.91019769213879,-81.59176057849548,5122.46,4149.94,32692
936d4566-762c-811f-0b2d-8730b398c9d3,1988-07-08,,999-13-4362,S99949347,X50102399X,Mr.,Wayne846,,Raynor401,,,M,white,nonhispanic,M,Atlanta  Georgia  US,942 Nienow Throughway,Dalton,Georgia,Whitfield County,13313.0,30720,34.71801101225898,-85.04135657986056,9829.78,0.0,81466
958179cf-dfde-3422-0c8c-8f389ad0c857,1962-10-20,,999-64-8937,S99953187,X53084373X,Mrs.,Lissa828,,Wyman904,,Champlin946,M,black,nonhispanic,F,Snellville  Georgia  US,364 Kunze Trailer,Millen,Georgia,Jenkins County,13165.0,30442,32.817187803175806,-81.93406487195601,14388.2,0.0,38269
3d6cd6aa-5aa0-2272-dbbb-d3f283966575,1955-05-15,,999-44-9573,S99994309,X71628852X,Mr.,Jonathan639,Kennith515,Wiegand701,,,S,black,nonhispanic,M,Shellman  Georgia  US,639 Hessel Run Apt 40,Rome,Georgia,Floyd County,13115.0,30149,34.30793371175098,-85.24351971966007,14044.7,1506.24,31484
e0d4c1e6-1486-a50a-3fc7-4688daff2eef,1996-03-16,,999-27-1953,S99920447,X19802246X,Mrs.,Tracee120,Carolina179,Wilkinson796,,Purdy2,M,white,nonhispanic,F,Hiram  Georgia  US,1037 Abshire Mill,Donalsonville,Georgia,Seminole County,13253.0,39845,30.96924616820328,-84.89804973646025,10812.46,0.0,64536
136f3169-34d4-9e1e-7708-064050c41605,1975-10-12,,999-48-5517,S99972628,X84851712X,Mr.,Derek111,Taylor21,Bradtke547,,,M,white,nonhispanic,M,Calhoun  Georgia  US,1022 Erdman Track,Milton,Georgia,Fulton County,13121.0,30075,34.17758730173666,-84.30428538431475,11323.62,0.0,123369
930093b7-f3c5-bab3-068c-5eabeaa205ad,1977-07-18,,999-37-5364,S99910973,X64569905X,Mr.,Tommie457,Weldon459,Pacocha935,,,M,asian,nonhispanic,M,Warner Robins  Georgia  US,124 VonRueden Vista,Atlanta,Georgia,Fulton County,13121.0,30308,33.7218223371853,-84.36784641272936,11273.39,65.57,683797
e76f0324-87c4-cff3-a2f5-b9dfeb665e5b,1972-01-15,,999-49-5200,S99978706,X30463004X,Mr.,Gayle448,Quintin944,Blick895,,,M,white,nonhispanic,M,Atlanta  Georgia  US,734 Corwin Brook Unit 98,Gainesville,Georgia,Hall County,13139.0,30504,34.36389246874536,-83.84893617728096,8978.44,3371.82,2469
4028d0dc-5bfc-f0d4-4cda-fcbd416426f3,1959-03-03,,999-85-4002,S99918089,X88236395X,Mrs.,Kizzy275,Grazyna952,MacGyver246,,Glover433,M,black,nonhispanic,F,Montezuma  Georgia  US,395 Monahan Fork Unit 36,Brookhaven,Georgia,DeKalb County,13089.0,30319,33.889549074866885,-84.29246017140441,15134.52,159.66,108790
33c82e04-949f-5b54-7d74-01ce879ddf33,2018-06-27,,999-42-2951,,,,Adrian111,Elmo857,Braun514,,,,white,nonhispanic,M,Morrow  Georgia  US,1042 Harris Course,Covington,Georgia,Newton County,13217.0,30016,33.62710061872573,-83.86415484929053,600.0,5697.9,825
1ce80c8c-e04c-363e-9502-35ae7743a2f6,1977-01-18,,999-91-4321,S99981369,X23953096X,Mrs.,Debbra216,Loraine318,Mohr916,,Keebler762,M,white,hispanic,F,Warner Robins  Georgia  US,1018 Koch Green Apt 18,Smyrna,Georgia,Cobb County,13067.0,30060,33.850288640283885,-84.49557374342368,8959.72,2499.9,23595
3dd89c5e-08fa-373c-98e2-b313a8c93439,1965-07-12,,999-50-7396,S99923418,X87214847X,Mrs.,Eryn994,Alise864,Lebsack687,,Klocko335,M,white,hispanic,F,Augusta  Georgia  US,370 O'Reilly Green Apt 81,Rome,Georgia,Floyd County,13115.0,30165,34.273355873363855,-85.20670274137169,13120.34,0.0,36020
c8ac53db-7c59-a634-3907-1ec60fec6f3e,1981-06-18,,999-56-4423,S99947577,X78114514X,Mrs.,Caroll955,Betty470,Casper496,,Corwin846,D,white,nonhispanic,F,Gainesville  Georgia  US,358 Grant Ranch,Pooler,Georgia,Chatham County,13051.0,31405,32.12679328200872,-81.14004407015035,11120.7,0.0,723650
c8e7317d-73b8-9875-3840-dbdac2ed1f8c,2014-06-14,,999-64-5501,,,,Lela622,Alexia646,Brown30,,,,white,nonhispanic,F,Brookhaven  Georgia  US,366 Lemke Mill Unit 40,Dallas,Georgia,Paulding County,13223.0,30132,33.89871227056705,-84.84812642459922,7324.54,0.0,38596
0df49d60-00ac-b828-9261-c6935a186469,2001-09-28,,999-10-7787,S99945201,X42247095X,Mr.,Javier97,Douglass930,Hirthe744,,,,white,nonhispanic,M,Peachtree City  Georgia  US,668 Schulist Boulevard,North Druid Hills,Georgia,DeKalb County,,0,33.79926101541283,-84.35473460434541,10797.02,0.0,62373
142540cd-08db-6ebc-4bec-f6381d805273,1938-05-11,,999-64-8391,S99948378,X3043630X,Mrs.,Laine739,Cherlyn665,Frami345,,Hermann103,M,black,nonhispanic,F,Barnesville  Georgia  US,881 Buckridge Estate,Atlanta,Georgia,DeKalb County,13089.0,30319,33.70132352199297,-84.61540956500349,17227.1,1416.94,132266
9f6e30e6-993f-f753-a8a2-1478b32e91fe,1992-01-31,,999-68-3800,S99941916,X27417004X,Mrs.,Jeanie708,,Shields502,,Green467,M,black,nonhispanic,F,Buchanan  Georgia  US,767 Wiegand Lane Suite 80,Gresham Park,Georgia,DeKalb County,,0,33.7033560390851,-84.3032458143881,11023.0,0.0,127389
e0509228-2a66-9a49-1d4a-86322f8f186c,2019-11-05,,999-42-3716,,,,Carlyn477,,Howe413,,,,white,nonhispanic,F,Atlanta  Georgia  US,277 Kunde Bypass,Savannah,Georgia,Chatham County,13051.0,31401,31.96904497546586,-81.08716092323807,500.0,5541.24,10203
55b18625-5473-977f-5104-cdf5f57f54a8,1961-03-13,,999-38-4944,S99968776,X55207275X,Mrs.,Phebe144,Kathyrn611,Mante251,,Hilll811,M,other,nonhispanic,F,Fitzgerald  Georgia  US,750 Smith Union Suite 54,Martinez,Georgia,Columbia County,13073.0,30907,33.522984985501985,-82.13128633014297,19562.03,973.4,595467
5f019769-d6f7-ce40-f52f-8cb470b1d42b,1982-12-06,,999-24-9698,S99946071,X64964594X,Mr.,Sydney660,,Hilll811,,,M,white,nonhispanic,M,Roswell  Georgia  US,258 Stanton Bypass,Columbus,Georgia,Muscogee County,13263.0,31801,32.34807788501214,-84.85870120002974,9165.7,2203.94,32314
dd825221-0756-d6b5-d73c-4b7e62eb8c37,2002-12-06,,999-94-3428,S99991168,X68219464X,Mr.,Kasey569,,Mohr916,,,,white,nonhispanic,M,Rome  Georgia  US,572 Leffler Lane,Chamblee,Georgia,DeKalb County,13089.0,30341,33.9312548222933,-84.24750935162605,6465.12,4603.9,26113
8e872d4b-631f-3297-36f7-2b7ee31e4b17,2001-11-22,,999-80-3014,S99958370,X27469669X,Mr.,Columbus656,Will178,Cole117,,,,white,nonhispanic,M,Grovetown  Georgia  US,933 O'Kon Lane,Atlanta,Georgia,Fulton County,13089.0,30319,33.79579504509729,-84.4176659888697,3869.2,6927.82,15375
c39f8799-cae4-04fd-15d6-c5d023462b4d,1980-07-12,,999-11-9335,S99993438,X77268419X,Mr.,Roy364,Jonathon205,Jaskolski867,,,S,black,hispanic,M,Smyrna  Georgia  US,320 Mraz Passage Suite 26,Atlanta,Georgia,Fulton County,13121.0,30309,33.74043697151204,-84.57600449202408,11490.3,0.0,143692
adba193d-e79b-cafc-4c7c-4f36a1314643,1953-08-24,,999-60-5317,S99911648,X25028582X,Mr.,Oren284,David908,Lebsack687,,,S,black,nonhispanic,M,Athens  Georgia  US,463 Altenwerth Rue,Darien,Georgia,McIntosh County,13191.0,31331,31.520726464530693,-81.43200797860078,15490.64,1071.5,66899
e29b55bd-c1be-3e28-bfcf-88bc506c57ab,1982-04-18,,999-73-8949,S99999180,X58092479X,Mr.,Ezra452,Herbert830,Grady603,,,S,asian,nonhispanic,M,Johns Creek  Georgia  US,789 Gerlach Harbor,Macon-Bibb County,Georgia,Bibb County,13021.0,31201,32.82166782323461,-83.59872194784967,19857.66,9304.87,29134
29454524-6f49-f0d2-6e7e-4d12cf4dacfe,1997-08-25,,999-68-6264,S99964585,X9902345X,Mr.,Benton624,Delbert384,Torp761,,,,white,nonhispanic,M,Atlanta  Georgia  US,979 Watsica Mill Apt 96,Atlanta,Georgia,Fulton County,13121.0,30318,33.8797645890942,-84.37406631947606,10555.8,0.0,880535
56ad899c-4f46-9115-108c-34548944c7b2,2016-10-14,,999-91-7304,,,,Tobi258,Corrina72,Christiansen251,,,,black,nonhispanic,F,Atlanta  Georgia  US,475 Koepp Lock,Augusta,Georgia,Richmond County,,0,33.413923898536545,-82.03047486227119,6811.22,0.0,78186
f962c7cd-3c71-b897-d980-3abbbe2084a0,1920-10-11,,999-51-3010,S99943003,X7653855X,Mrs.,Jacqueline49,,Weimann465,,Baumbach677,D,black,nonhispanic,F,Savannah  Georgia  US,684 Orn Dam Apt 2,Duluth,Georgia,Gwinnett County,13135.0,30071,34.009416005498494,-84.15455094985772,18362.08,2472.51,16673
3ee131c8-20dd-fd34-2dd9-4dc05c448dc8,1985-12-28,,999-74-3180,S99974870,X1940146X,Mr.,Quincy153,Warner493,McClure239,,,M,white,nonhispanic,M,Athens  Athens Prefecture  GR,246 Bahringer Port Apt 93,Johns Creek,Georgia,Fulton County,13121.0,30022,34.08207502305399,-84.2010421715422,10584.32,0.0,86582
6dda3b47-4614-64f7-01b4-b554f2016dc6,1987-08-15,,999-81-7701,S99965602,X52660407X,Mr.,Bobby524,Marcel580,Green467,,,M,black,nonhispanic,M,Henderson  Georgia  US,731 Sanford Branch,Duluth,Georgia,Gwinnett County,13135.0,30024,34.00616242701524,-84.12750728991013,5988.5,4595.82,7252
2481fcf9-e501-9ce7-b8d4-741910385dea,2014-07-17,,999-62-4088,,,,Caridad510,,Valenzuela371,,,,white,hispanic,F,Kingston  Kingston  JM,997 Reichel Light,Lakeview Estates,Georgia,Rockdale County,,0,33.74237424202924,-84.05789935504687,7324.54,0.0,46726
