Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
16bd602f-a2c5-7443-5b7b-b23dcf80aaa3,2016-05-23,,999-97-8890,,,,Yuki258,Karyn217,Kuhn96,,,,black,nonhispanic,F,Milledgeville  Georgia  US,624 Mayert Bypass,Lake City,Georgia,Clayton County,13063,30260,33.661107717288594,-84.3555484838904,800.00,6011.22,22420
c3e7e1d2-7655-2e48-a67f-30b92bf90e55,2017-06-29,,999-93-5015,,,,Craig656,,Greenfelder433,,,,white,nonhispanic,M,Athens  Georgia  US,422 Schmeler Terrace,Milton,Georgia,Fulton County,13121,30075,34.03894215890171,-84.39267882757383,5292.19,1262.37,67331
a40c9913-ceb7-76dd-d4b8-87d1e44941b0,1994-08-11,,999-43-7351,S99934155,X46009895X,Mr.,Erik495,Donnie175,Kautzer186,,,S,black,nonhispanic,M,Athens  Georgia  US,176 Robel Junction,Country Club Estates,Georgia,Glynn County,,00000,31.16154776058978,-81.49821183985655,4732.52,6577.82,2112
139e945e-5367-33f7-d74a-a47e964ecc69,1995-05-23,,999-34-8785,S99987680,X54196212X,Mrs.,Reginia455,Laurine214,Murphy561,,Predovic534,M,black,nonhispanic,F,Augusta  Georgia  US,532 Mills Plaza Apt 24,Columbus,Georgia,Muscogee County,13263,31801,32.4891084272455,-84.55259803261639,4184.64,6627.82,7503
8386ad3a-a37e-3db6-06f3-ec937215b4f1,2017-05-27,,999-70-6863,,,,Ramón841,José Eduardo181,Vallejo39,,,,white,hispanic,M,Salisbury  Saint Joseph Parish  DM,518 Cassin Rest Apt 43,Mount Vernon,Georgia,Montgomery County,13209,30445,32.17788157766367,-82.61079891796844,6554.56,0.00,89475
f7ab64bd-70fc-2a66-ee17-f19d484de47a,2009-01-27,,999-13-5136,S99941430,,,Laraine204,Hester117,Douglas31,,,,black,nonhispanic,F,Sunnyside  Georgia  US,615 Howell Lock,Boston,Georgia,Thomas County,13275,31626,30.7486213349745,-83.7587541475843,10178.38,0.00,72857
b548a4d0-f3f4-1292-809d-6976b4d7ed26,1978-03-08,,999-73-4872,S99953283,X16002967X,Mrs.,Felecia131,Franchesca574,Lindgren255,,Bernier607,M,black,nonhispanic,F,Chickamauga  Georgia  US,219 Tillman Mill,College Park,Georgia,Fulton County,13063,30337,33.68875049278941,-84.49096555817783,7287.14,4323.82,16619
c8fe2ae1-986c-810b-f51a-c16d01ce67b2,1983-04-20,,999-59-9276,S99910280,X65245626X,Ms.,Pauline896,Thelma273,Leannon79,,,S,white,nonhispanic,F,Willacoochee  Georgia  US,156 Anderson Annex,Valdosta,Georgia,Lowndes County,13185,31698,30.771262654874885,-83.2951353233371,10343.10,0.00,168686
5e91536c-a90b-5471-f6b3-9e16cd3582f7,1978-03-12,,999-41-7145,S99990286,X13749232X,Mrs.,Ashlie138,Joye57,Huel628,,Paucek755,M,white,nonhispanic,F,Auburn  Georgia  US,266 McGlynn Passage Apt 66,Richmond Hill,Georgia,Bryan County,13029,31324,31.8923256406127,-81.24961070863164,8318.12,3043.90,24169
a5ac99b5-4b45-0341-0f79-009b45386a86,2021-06-09,,999-90-2176,,,,Yon80,Vena594,Smith67,,,,white,nonhispanic,F,Irondale  Georgia  US,844 Sawayn Promenade Suite 23,Atlanta,Georgia,Fulton County,13121,30311,33.855543013134806,-84.32481770318469,4983.92,0.00,46029
3f2c8151-6715-2b13-4208-6a5ac2d524ae,2014-05-23,,999-47-7036,,,,Kandis954,Susana117,Brekke496,,,,white,nonhispanic,F,Atlanta  Georgia  US,950 Koelpin Rapid,Macon-Bibb County,Georgia,Bibb County,13021,31201,32.80189603937239,-83.57939606172603,3174.60,4149.94,26682
a881828a-286a-e840-e2a9-0ab222e76be3,1986-05-14,,999-79-7340,S99967544,X86319703X,Mr.,Huey641,Danial835,Barton704,,,M,white,nonhispanic,M,Buford  Georgia  US,632 Bednar Quay Suite 88,Mount Airy,Georgia,Habersham County,13137,30531,34.465399063373766,-83.59624561364457,10584.32,0.00,135045
